|id|entry|cnt_words|pronounce|syllabary|english|
|73,480|ᎧᏁᎢᏍᏗᎭ|2|Jakineistanv gelisgv.|ᏣᎩᎢᏁᎢᏍᏔᏅ ᎨᎵᏍᎬ.|I thought I mentioned it.|
|73,929|ᎤᏍᏗᏁᎦᎸᎢ|2|Usdinegalv adlagosga.|ᎤᏍᏗᏁᎦᎸ ᎠᏜᎪᏍᎦ.|He's scratching his scalp.|
|73,998|ᎤᏬᏝᎥᎢ|2|Uwohlavi dayudetinvi.|ᎤᏬᏝᎥᎢ ᏓᏳᏕᏘᏅᎢ.|He dived from a bluff.|
|73,099|ᎦᎾᏫᏗᎭ|2|Gasalenis tinawidvhi?|ᎦᏌᎴᏂᏍ ᏘᎾᏫᏛᎯ?|Are you going to take a coat?|
|72,873|ᏗᎪᏪᎵ|2|Digohweli dejigoliyea.|ᏗᎪᏪᎵ ᏕᏥᎪᎵᏰᎠ.|I am reading a book.|
|72,509|ᎠᎵᏰᏑᎶ|2|Diliyesulo dagiyohusi.|ᏗᎵᏰᏑᎶ ᏓᎩᏲᎱᏏ.|I lost some gloves.|
|73,086|ᎦᎸᏂᎭ|2|hilvnileis jisdahlilv?|ᎯᎸᏂᎴᎢᏍ ᏥᏍᏓᏟᎸ?|Did you beat him up when you two fought?|
|73,587|ᏅᏩᏙᎯᏯᏓ|2|Nvwhtohiyada idehesdi.|ᏅᏩᏙᎯᏯᏓ ᎢᏕᎮᏍᏘ.|Let's live in peace.|
|73,954|ᎤᏔᏃᎸᏓ|2|Utanolvda duleyhtanvi.|ᎤᏔᏃᎸᏓ ᏚᎴᏴᏔᏅᎢ.|He got burned by steam.|
|74,000|ᎤᏬᏘᏓ|2|Uwotida agitsgwalvtvi.|ᎤᏬᏘᏓ ᎠᎩᏥᏆᎸᏛᎢ.|My ankle is swollen.|
|72,765|ᏓᎧᏃᏩᏗᏙᎭ|2|Gago dejakanowadidoha?|ᎦᎪ ᏕᏣᎧᏃᏩᏗᏙᎭ?|Who is looking after you?|
|73,425|ᏧᎦᏃᏥ|2|Gahisgahos juniganoji?|ᎦᎯᏍᎦᎰᏍ ᏧᏂᎦᏃᏥ?|Are you afraid of centipedes?|
|73,988|ᎤᏪᎵᎯᎠ|2|Hlesdi yijelihisgesdi.|ᏞᏍᏗ ᏱᏤᎵᎯᏍᎨᏍᏗ.|Don't worry.|
|72,854|ᏗᏓᏍᏚᏗᎢ, ᏧᎾᏓᏍᏚᏗᎢ|2|Jayvhlvis junadasdudi?|ᏣᏴᏢᎢᏍ ᏧᎾᏓᏍᏚᏗ?|Have you been in jail?|
|72,870|ᏗᎦᏄᎳᏥ|2|Diganulaji juhyvgisati.|ᏗᎦᏄᎳᏥ ᏧᏴᎩᏌᏘ.|He's ticklish in his ribs.|
|72,532|ᎠᎵᏍᏇᏚᎩᎠ|2|Halsgwetuhgi. Jigoliya.|ᎭᎵᏍᏇᏚᎩ. ᏥᎪᎵᏯ.|Take your hat off. Let me look at it.|
|73,866|ᎤᎳᏑᎶ|2|Julasulo dekalvsadvsga.|ᏧᎳᏑᎶ ᏕᎧᎸᏌᏛᏍᎦ.|He's lacing up his shoes.|
|73,471|ᎧᎾᏁᏍᎩ|2|Kananesgi kaniladewsga.|ᎧᎾᏁᏍᎩ ᎧᏂᎳᏕᏫᏍᎦ.|A spider is making a web.|
|73,573|ᏄᎳ|2|Nula, daginigohniyojis.|ᏄᎳ, ᏓᎩᏂᎪᏂᏲᏥᏍ.|Hurry or we'll be late.|
|73,724|ᎤᏓᏅᏙ|2|Udanhdo ulehwisdanelvi.|ᎤᏓᏅᏙ ᎤᎴᏫᏍᏓᏁᎸᎢ.|His heart stopped on him.|
|72,251|ᎠᏕᎶᎰᏍᎦ|2|Udelohosv ajilonuesgvi.|ᎤᏕᎶᎰᏒ ᎠᏥᎶᏄᎡᏍᎬᎢ.|He found out that he was being cheated.|
|73,199|ᎦᏛᏍᎦ|2|Didahlilostanv gatvsga.|ᏗᏓᏟᎶᏍᏔᏅ ᎦᏛᏍᎦ.|She's hanging up a picture.|
|73,835|ᎤᏴᏥᏅᏗᎦ|2|Hlesdi jichayvhjinvtsi.|ᏞᏍᏗ ᏥᏣᏴᏥᏅᏘᏏ.|Don't choke on it.|
|72,757|ᏓᎿᏬᎠ|2|Judanvgalvda tahnawoja.|ᏧᏓᏅᎦᎸᏓ ᏔᎿᏬᏣ.|Put on some clean clothes.|
|73,797|ᎤᎭᏁᎦᎸᎢ|2|Duhanegalv dukayohiseha.|ᏚᎭᏁᎦᎸ ᏚᎧᏲᎯᏎᎭ.|His lips are getting dry.|
|73,212|ᎦᏰᎪᎩ|2|Gayhgogi kanohehlidohoi.|ᎦᏴᎪᎩ ᎧᏃᎮᏟᏙᎰᎢ.|He goes around telling lies.|
|72,498|ᎠᎴᏫᏍᏙᏗᎭ|2|Halehwisdohda dagwalela.|ᎭᎴᏫᏍᏙᏓ ᏓᏆᎴᎳ.|Stop the car.|
|72,245|ᎠᏕᎰᎯᏍᏗᎭ|2|Udehohisdohdi anehldiha.|ᎤᏕᎰᎯᏍᏙᏗ ᎠᏁᏟᏗᎭ.|She's trying to embarrass him.|
|72,412|ᎠᏴᏓᏆᎶᎠ|2|Hatvgias ahyvdagwalosgv?|ᎭᏛᎩᎠᏍ ᎠᏴᏓᏆᎶᏍᎬ?|Do you hear it thundering?|
|72,514|ᎠᎵᏥᏈᏍᎦ|2|Hlesdi hyaljikwidohesdi.|ᏞᏍᏗ ᏯᎵᏥᏈᏙᎮᏍᏗ.|Don't go around spitting.|
|72,935|ᏚᏴᏍᏙᏯᏍᎦ|2|Kosdu dakiyvsdoysdisgoi.|ᎪᏍᏚ ᏓᎩᏴᏍᏙᏯᏍᏗᏍᎪᎢ.|Dust makes me sneeze.|
|73,771|ᎤᏚᎵᎭ|2|Udawesolvsdohdi uduliha.|ᎤᏓᏪᏐᎸᏍᏙᏗ ᎤᏚᎵᎭ.|He wants to rest.|
|73,172|ᎦᏅᏥᏙᎭ|2|Uhljvdagwada unvjidolvi.|ᎤᎵᏨᏓᏆᏓ ᎤᏅᏥᏙᎸᎢ.|He tossed about all night.|
|73,473|ᎧᎾᏍᏕᏟᎭ|2|Dekanasdedliha duwaihlvi.|ᏕᎧᎾᏍᏕᏟᎭ ᏚᏩᎢᏢᎢ.|He's rooting out bushes.|
|72,788|ᏓᎵᏰᏑᎴᎠ|2|Dodagaliyesulesi. Nihina?|ᏙᏓᎦᎵᏰᏑᎴᏏ. ᏂᎯᎾ?|I'm going to take my gloves off. What about you?|
|73,657|ᏐᏈᎵ|2|Sogwili danatohgiyasdiha.|ᏐᏈᎵ ᏓᎾᏙᎩᏯᏍᏗᎭ.|They're racing horses.|
|72,763|ᏓᎧᏁᎯᎭ|2|Dakwalvsadv dagikaneheha.|ᏓᏆᎸᏌᏛ ᏓᎩᎧᏁᎮᎭ.|He is tying my shoe laces for me.|
|73,117|ᎦᏁᏍᏓᎳᏗᎠ|2|Deganavhnv deganesdaldia.|ᏕᎦᎾᏅ ᏕᎦᏁᏍᏓᎳᏗᎠ.|The roads are freezing.|
|72,413|ᎠᏴᏓᏆᎶᏍᎩ|2|Hisgahois ahyvdagwalosgi?|ᎯᏍᎦᎰᎢᏍ ᎠᏴᏓᏆᎶᏍᎩ?|Are you afraid of thunder?|
|72,302|ᎠᎦᎾᏬᏗᎭ|2|Julasihdeni daganawhdiha.|ᏧᎳᏏᏕᏂ ᏓᎦᎾᏬᏗᎭ.|He's warming his feet.|
|72,529|ᎠᎵᏍᎫᏍᎦ|2|Halsguhya dehadanilvgesdi.|ᎭᎵᏍᎫᏯ ᏕᎭᏓᏂᎸᎨᏍᏗ.|Nod your head if you accept.|
|73,500|ᎧᏄᏲᎳᏗᎠ|2|Kanuyoladisgvdv jidajiyva.|ᎧᏄᏲᎳᏗᏍᎬᏛ ᏥᏓᏥᏴᎠ.|It was misting when I came in.|
|73,899|ᎤᎾᎵᎢ|2|Oginalii widajiwhtvhidoli.|ᎣᎩᎾᎵᎢ ᏫᏓᏥᏩᏛᎯᏙᎵ.|I am going to go and visit my friend.|
|73,164|ᎦᏅᎦᎵᎭ|2|Dagwasuhgahlv dejinvgalia.|ᏓᏆᏑᎦᏢ ᏕᏥᏅᎦᎵᎠ.|I'm cleaning my fingernails.|
|72,510|ᎠᎵᏰᏑᏍᏘᎩᎠ|2|Yudawoena aliyesustgisgoi.|ᏳᏓᏬᎡᎾ ᎠᎵᏰᏑᏍᏘᎩᏍᎪᎢ.|When he goes swimming, he takes his ring off.|
|72,690|ᎠᏛᏛᎲᏍᎦ|2|Hiyatvdvhvga nididvnelisvi.|ᎯᏯᏛᏛᎲᎦ ᏂᏗᏛᏁᎵᏒᎢ.|Ask him what he's going to do.|
|73,421|ᏧᏓᎴᏅᏓ|2|Judalehnvda unisgohldidana.|ᏧᏓᎴᏅᏓ ᎤᏂᏍᎪᎵᏗᏓᎾ.|They have various things on sale.|
|73,713|ᎤᏓᏙᎵᏍᏗ|2|Udadolisdohdi ajitayoselvi.|ᎤᏓᏙᎵᏍᏙᏗ ᎠᏥᏔᏲᏎᎸᎢ.|He was asked to pray.|
|72,890|ᏗᎧᏃᏩᏗᏙᎯ|2|Danohyadas dinikanowadidohi?|ᏓᏃᏯᏓᏍ ᏗᏂᎧᏃᏩᏗᏙᎯ?|Do angels have wings?|
|72,752|ᏓᏟᏃᎮᎭ|2|Dihlinohehdi degalinohesgvi.|ᏗᏟᏃᎮᏗ ᏕᎦᎵᏃᎮᏍᎬᎢ.|I was conversing on the phone.|
|72,238|ᎠᏓᏪᏐᎸᏍᏗᎭ|2|Hadawesolvsda. Dotastayesega.|ᎭᏓᏪᏐᎸᏍᏓ. ᏙᏔᏍᏔᏰᏎᎦ.|Rest. You'll get exhausted.|
|72,528|ᎠᎵᏍᎪᎸᏓᏁᎭ|2|Sgwalsgohldasi agiwonihisdii.|ᏍᏆᎵᏍᎪᎸᏓᏏ ᎠᎩᏬᏂᎯᏍᏗᎢ.|Permit me to speak.|
|73,444|ᏧᎵᏏᏅᏓ|2|Julsihnvdas dejalvhwisdanehoi?|ᏧᎵᏏᏅᏓᏍ ᏕᏣᎸᏫᏍᏓᏁᎰᎢ?|Do you work nightly?|
|72,795|ᏓᎾᏓᎯᎵᏙᎭ|2|Unadodagwohnv danadahilidohesdi.|ᎤᎾᏙᏓᏉᏅ ᏓᎾᏓᎯᎵᏙᎮᏍᏗ.|They will be having a trial on Monday.|
|72,789|ᏓᎵᏰᏑᎵᎠ|2|Degaliyesuli dodvgilvhwisdanelihehno.|ᏕᎦᎵᏰᏑᎵ ᏙᏛᎩᎸᏫᏍᏓᏁᎵᎮᏃ|I am putting on gloves because I am going to work.|
|72,780|ᏓᎳᎳ|3|Dalala uniyvhv wesa.|ᏓᎳᎳ ᎤᏂᏴᎲ ᏪᏌ.|A cat caught a woodpecker.|
|73,327|ᎯᎳ|3|Hila iga jugvwahldi?|ᎯᎳ ᎢᎦ ᏧᎬᏩᎶᏗ?|How much does it cost?|
|73,243|ᎪᎵᎩ|3|Hiyoligis hia asgaya?|ᎯᏲᎵᎩᏍ ᎯᎠ ᎠᏍᎦᏯ?|Do you know this man?|
|73,260|ᎪᎴᎯ|3|Golehi udlvga ganakti.|ᎪᎴᎯ ᎤᏢᎦ ᎦᎾᎦᏘ.|The doctor has pneumonia.|
|73,267|ᎪᏛᎢ|3|Gotv nav deginohlesdi.|ᎪᏛ ᎾᎤ ᏕᎩᏃᏞᏍᏗ.|Let's sit by the fire.|
|73,318|ᎭᏢ|3|Hadlv wigalohi sdalii?|ᎭᏢ ᏫᎦᎶᎯ ᏍᏓᎵᎢ?|Where did your friend go?|
|73,556|Ꮒ|3|Ni! Gago jidaya?|Ꮒ! ᎦᎪ ᏥᏓᏯᎢ?|Look! Who's that coming?|
|72,625|ᎠᏏᏂ|3|Gado asini chai?|ᎦᏙ ᎠᏏᏂ ᏣᎢ?|Why are you walking backwards?|
|72,261|ᎠᏗᎭ|3|Gado usdi adiha?|ᎦᏙ ᎤᏍᏗ ᎠᏗᎭ?|What is he saying?|
|72,647|ᎠᏒᎦ|3|Gosdi uyo asvga.|ᎪᏍᏗ ᎤᏲ ᎠᏒᎦ.|Something smells bad.|
|73,272|ᎫᎫ|3|Gugu degwayodesdi gihli|ᎫᎫ ᏕᏆᏲᏕᏍᏗ ᎩᏟ.|Ticks are making the dog itch.|
|73,282|ᎫᎴ|3|Gule danigisgoi saloli.|ᎫᎴ ᏓᏂᎩᏍᎪᎢ ᏌᎶᎵ.|Squirrels eat acorns.|
|73,414|ᏦᎩ|3|Jogi didla inena.|ᏦᎩ ᏗᏜ ᎢᏁᎾ.|Let's go upstream.|
|73,952|ᎤᏔᏂ|3|Utani hia ahnawo.|ᎤᏔᏂ ᎯᎠ ᎠᎿᏬ.|This shirt is too big.|
